unix_timestamp,value
1703199600,1.38
1703203200,0.92
1703206800,0.92
1703210400,0.92
1703214000,1.38
1703217600,1.84
1703221200,1.84
1703224800,1.61
1703228400,0.92
1703232000,1.15
1703235600,0.92
1703239200,0.23
1703242800,0.92
1703246400,1.38
1703250000,1.61
1703253600,1.84
1703257200,2.07
1703260800,2.07
1703264400,1.84
1703268000,1.84
1703271600,1.61
1703275200,1.38
1703278800,1.38
1703282400,1.38
1703286000,1.38
1703289600,0.92
1703293200,0.92
1703296800,0.92
1703300400,1.38
1703304000,1.84
1703307600,1.84
1703311200,1.61
1703314800,0.92
1703318400,1.15
1703322000,0.92
1703325600,0.23
1703329200,0.92
1703332800,1.38
1703336400,1.61
1703340000,1.84
1703343600,2.07
1703347200,2.07
1703350800,1.84
1703354400,1.84
1703358000,1.61
1703361600,1.38
1703365200,1.38
1703368800,1.38
1703372400,1.38
1703376000,0.92
1703379600,0.92
1703383200,0.92
1703386800,1.38
1703390400,1.84
1703394000,1.84
1703397600,1.61
1703401200,0.92
1703404800,1.15
1703408400,0.92
1703412000,0.23
1703415600,0.92
1703419200,1.38
1703422800,1.61
1703426400,1.84
1703430000,2.07
1703433600,2.07
1703437200,1.84
1703440800,1.84
1703444400,1.61
1703448000,1.38
1703451600,1.38
1703455200,1.38
1703458800,1.38
1703462400,0.92
1703466000,0.92
1703469600,0.92
1703473200,1.38
1703476800,1.84
1703480400,1.84
1703484000,1.61
1703487600,0.92
1703491200,1.15
1703494800,0.92
1703498400,0.23
1703502000,0.92
1703505600,1.38
1703509200,1.61
1703512800,1.84
1703516400,2.07
1703520000,2.07
1703523600,1.84
1703527200,1.84
1703530800,1.61
1703534400,1.38
1703538000,1.38
1703541600,1.38
1703545200,1.38
1703548800,0.92
1703552400,0.92
1703556000,0.92
1703559600,1.38
1703563200,1.84
1703566800,1.84
1703570400,1.61
1703574000,0.92
1703577600,1.15
1703581200,0.92
1703584800,0.23
1703588400,0.92
1703592000,1.38
1703595600,1.61
1703599200,1.84
1703602800,2.07
1703606400,2.07
1703610000,1.84
1703613600,1.84
1703617200,1.61
1703620800,1.38
1703624400,1.38
1703628000,1.38
1703631600,1.38
1703635200,0.92
1703638800,0.92
1703642400,0.92
1703646000,1.38
1703649600,1.84
1703653200,1.84
1703656800,1.61
1703660400,0.92
1703664000,1.15
